source_file,char,japanese_name,literal_meaning,current_keyword,proposed_keyword,status,rationale_citation
component_keyword.json,乍,,while,while,while,keep,"crossref: 乍 is phonetic-only (作,搾,昨,酢; on-yomi さく) — so any compound-derived gloss would be suspect, BUT ""while"" is not derived from a compound; it is 乍's own Japanese kun-yomi usage (乍ら nagara = ""while ~ing""), attested in standard kanji dictionaries (e.g. jisho.org 乍 = ""while""). This is the character's own standalone reading/meaning in Japanese, not a borrowed guess. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,廴,えんにょう (ennyou)/rennyou,"to move, stretch; ""long stride""",long stride,long stride,keep,"raw-data/sylhare/kanji-radicals.csv row 54 (廴): Meaning=""to move, stretch"". However ""long stride"" is the standard, widely documented English name for Kangxi radical 54 (e.g. Wikipedia ""Radical 54"", Joy o' Kanji), a well-sourced alternate name rather than an invented guess. Kept as accurate. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,毋,なかれ (nakare),"not, mother",do not,do not,keep,"raw-data/sylhare/kanji-radicals.csv row 80 (毋): Meaning=""not, mother""; reading なかれ (nakare) itself means ""must not/do not"" in classical Japanese. ""do not"" matches this sense. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,衤,ころもへん (koromohen),clothing,clothes on mannequin,clothing,change,"raw-data/sylhare/ka_data.csv (rad ⻂ koromohen): rad_meaning=""clothing"". ""on mannequin"" is an invented, unsourced embellishment (no dictionary describes 衤 this way). | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,隹,ふるとり (furutori),small bird,small bird,small bird,keep,"raw-data/sylhare/kanji-radicals.csv row 172 (隹): Meaning=""small bird"". Exact match. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,耒,らいすき (raisuki),plow,handle of plow,plow,change,"raw-data/sylhare/kanji-radicals.csv row 127 (耒): Meaning=""plow"" (radical name ""raisuki"" = plow). ""handle of"" is an added interpretive detail not present in the sourced meaning; simplify to the plain dictionary sense. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,彳,ぎょうにんべん (gyouninben),"step, stride, street, to go",step with left foot,step with left foot,keep,"raw-data/sylhare/kanji-radicals.csv row 60 (彳): Meaning=""step, stride, street, to go"". ""step with left foot"" is a well-documented, accurate etymological description (Shuowen tradition: 彳 depicts a person's left leg/step, split from 行 alongside 亍 the right-foot step) — not a guess. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,亅,はねぼう (hanebou),"hook, hook stick",hook,hook / hook stick,change,"raw-data/sylhare/kanji-radicals.csv row 6 (亅): Meaning=""hook, hook stick"". Matches. | Audit fix: literal_meaning is 'hook, hook stick' (はねぼう = barb/hook + stick/rod); proposed 'hook' dropped the 'stick' shape descriptor also present in the source. Added 'hook stick' as an alternative to preserve that nuance."
component_keyword.json,丶,てん (ten),dot,dot,dot,keep,"raw-data/sylhare/kanji-radicals.csv row 3 (丶): Meaning=""dot"". Exact match. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,丿,の (no),"slash / bend, stroke",slash,slash,keep,"Unicode's official name for this radical block character is literally ""KANGXI RADICAL SLASH"" (U+2F03), matching current keyword directly; raw-data/sylhare/kanji-radicals.csv row 4 gives an alternate gloss ""bend, stroke"" but ""slash"" is the standard sourced name. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,亠,なべぶた (nabebuta),"lid, top (""pot lid"")",kettle lid,kettle lid,keep,"raw-data/sylhare/kanji-radicals.csv row 8 (亠): Meaning=""lid, top""; Japanese radical name なべぶた (nabebuta) literally means ""pot lid"". ""kettle lid"" is a close, accurate paraphrase. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,夬,,"resolute; to break off/decide (I Ching hexagram 43 ""Break-through, Resoluteness"")",certain,resolute,change,"crossref: 夬 is phonetic-only (決; no recorded on-yomi) — not a semantic radical, so a compound-derived gloss is suspect. Web: Wiktionary describes 夬 as pictographic of ""a hand wearing an archer's thumb ring""; standard dictionaries and the I Ching hexagram name give 夬 (guài) = ""resolute, to break off/decide"". ""certain"" does not match any sourced meaning; ""resolute"" is the character's own attested sense. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,洛,,"Luo River; Luoyang; (in Japanese) Kyoto, the capital",old Kyoto,Kyoto,change,"crossref: isolated, no semantic/phonetic role recorded locally. Web: JLPTsensei and multiple JP dictionaries give 洛 (raku) = ""Kyoto, the capital"" (from the historical comparison of Kyoto to the Chinese capital Luoyang/洛陽); attested in 上洛, 洛中, 洛外 etc. ""old"" is not part of any sourced gloss — drop it for accuracy. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,屮,くさのめ (kusanome),sprout,sprout,sprout,keep,"raw-data/sylhare/kanji-radicals.csv row 45 (屮): Meaning=""sprout"". Exact match. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,凵,かんにょう (kannyou),"container, open box",open box,open box,keep,"raw-data/sylhare/kanji-radicals.csv row 17 (凵): Meaning=""container, open box"". Matches. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,忄,りっしんべん (risshinben),"heart, mind, spirit",thin heart,standing heart / heart (left),change,"raw-data/sylhare/ka_data.csv (rad ⺖ risshinben): rad_meaning=""heart, mind, spirit"". ""thin"" is an invented, unsourced descriptor (possibly confusing the narrow vertical stroke shape with an actual meaning). | Audit fix: りっしんべん literally = 立心 (立=standing, 心=heart); 'thin' was already flagged as invented, but the replacement 'heart' still dropped the sourced 'standing' descriptor. Restored as 'standing heart', with plain 'heart (left)' kept as an alternative."
component_keyword.json,冫,にすい (nisui),ice,ice,two water drops (ice),change,"raw-data/sylhare/kanji-radicals.csv row 15 (冫): Meaning=""ice"". Exact match. | Audit fix: this file's own citation says にすい=ice, but the same radical is documented elsewhere in this CSV (AI_radicals.json row) as literally 'two water(-drops); category: ice', already corrected there to 'two water drops (ice)' per user decision. Restoring the same literal-name-plus-category rendering here for consistency; bare 'ice' dropped the 'two water drops' descriptive layer."
component_keyword.json,吊,,"to hang, suspend; to condole/mourn",dangle,dangle,keep,"crossref: isolated, no semantic/phonetic role recorded locally. Web: Wiktionary/Chinese dictionaries give 吊 (diào) = ""to hang, suspend"" (also ""to condole/mourn""). ""dangle"" is an accurate colloquial synonym for ""hang, suspend"". | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,禾,のぎへん (nogihen),grain,grain on stalk,grain on stalk,keep,"raw-data/sylhare/kanji-radicals.csv row 115 (禾): Meaning=""grain""; ""on stalk"" reflects the well-documented pictographic origin (a drooping grain-stalk), consistent with standard etymological descriptions, not an invented guess. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,丨,たてぼう (tatebou),"line, stick",vertical line,vertical line,keep,"raw-data/sylhare/kanji-radicals.csv row 2 (丨): Meaning=""line, stick"". Matches (""vertical line"" is the standard rendering). | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,卩,ふしづくり (fushizukuri),"stamp, seal",crooked seal,seal,change,"raw-data/sylhare/kanji-radicals.csv row 26 (卩): Meaning=""stamp, seal"". ""crooked"" is an invented, unsourced descriptor. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,耂,おいかんむり (oikanmuri),"old, old-age",old grave,old age,change,"raw-data/sylhare/ka_data.csv (rad ⺹ oikanmuri): rad_meaning=""old, old-age"". ""grave"" is wrong — not attested anywhere; this radical (derived from 老 ""old"") has nothing to do with graves. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,罒,あみがしら (amigashira),net,small net,net,change,"raw-data/sylhare/ka_data.csv (rad ⺫ amigashira): rad_meaning=""net"". ""small"" is an invented, unsourced qualifier. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,灬,れんが/れっか (renga/rekka),"series of fire (連火: 連=series/row, 火=fire) or fierce fire (烈火)",fire sparks,fire series,change,"raw-data/sylhare/kanji-radicals.csv row 257: glyph ⺣ (U+2EA3, CJK RADICAL FIRE — visually identical twin of 灬 U+706C per this project's codepoint-matching convention), Japanese name れっか/rekka, Meaning=""fire"", Position-J/R=あし/ashi (bottom). This bottom-fire radical is also commonly named れんが/renga (連火, literally ""series/row of fire"" — describing the four-dot flame shape). ""sparks"" is unsourced. User-supplied correction 2026-09-03: use the 連火/renga literal translation ""fire series"" rather than a position-bracket paraphrase. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,韋,なめしがわ (nameshigawa),tanned leather,tanned leather,tanned leather,keep,"raw-data/sylhare/kanji-radicals.csv row 178 (韋): Meaning=""tanned leather"" — exact match. Note: crossref shows 韋 is a genuine semantic radical (韓) while its phonetic uses (偉,緯,違) are separate; this keyword correctly reflects 韋's own Kangxi-radical meaning rather than being borrowed from a phonetic compound, so despite superficial resemblance to the 攸/悠 error class, this one is verified correct. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,幺,いとがしら (itogashira),"short thread / young, slight",short thread,short thread,keep,"raw-data/sylhare/kanji-radicals.csv row 52 (幺): Meaning=""young, slight""; however ""short thread"" is the standard pictographic/etymological description of Kangxi radical 52 widely used in reference works (Wiktionary, Wikipedia ""Radical 52""), depicting a small skein of silk — a sourced, accurate alternate description, not a guess. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,亻,にんべん (ninben),person,thin person,person,change,"raw-data/sylhare/ka_data.csv (rad ⺅ ninben): rad_meaning=""person"". ""thin"" is an invented, unsourced descriptor. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,儿,ひとあし (hitoashi),human legs,legs,human legs,change,"raw-data/sylhare/kanji-radicals.csv row 10 (儿): Meaning=""human legs"". ""legs"" is an accurate short form. | Audit fix: literal_meaning is 'human legs' (ひとあし = ひと 'person/human' + あし 'legs'); proposed 'legs' dropped the 'human' qualifier. Restored to match the literal meaning exactly."
component_keyword.json,匕,さじ (saji),spoon,spoon,spoon,keep,"raw-data/sylhare/kanji-radicals.csv row 21 (匕): Meaning=""spoon"". Exact match. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,昏,,"dusk, twilight (日 sun + 氐 low = sun low)",dusk,dusk,keep,"crossref: 昏 is phonetic-only for 婚 (marriage), with no on-yomi recorded — so a gloss borrowed from 婚's meaning would be suspect, BUT ""dusk"" is 昏's own well-attested standalone dictionary meaning (日 ""sun"" + abbreviated 氐 ""low"" = sun low on the horizon = dusk), not derived from 婚. Confirmed correct, unlike the 攸/悠 error pattern. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,兔,,"hare, rabbit",hare,hare,keep,"crossref: isolated, no semantic/phonetic role recorded locally. ""hare"" is 兔's standard, well-documented dictionary meaning (variant of 兎). | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,礻,しめすへん (shimesuhen),"altar, festival, religious service",cult,"altar, religious service",change,"raw-data/sylhare/ka_data.csv (rad ⺭ shimesuhen): rad_meaning=""altar, festival, religious service"". ""cult"" is a misleading/wrong gloss not attested anywhere — likely a guess loosely associating this radical's religious-ritual sense with the modern pejorative sense of ""cult"". | Audit fix: literal_meaning/source is 'altar, festival, religious service'; proposed 'altar, spirit' both drops the sourced 'festival, religious service' sense and introduces an unsourced word ('spirit') not attested anywhere. Corrected to track the sourced meaning directly."
component_keyword.json,戈,ほこ (hoko),"spear, weapon",spear,spear,keep,"raw-data/sylhare/kanji-radicals.csv row 62 (戈): Meaning=""spear, weapon"". Matches. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,歹,がつ (gatsu),"death & dying, to decompose",bare bone,"death, decay",change,"raw-data/sylhare/kanji-radicals.csv row 78 (歹): Meaning=""death & dying, to decompose"" — this Kangxi radical is universally documented (KanjiVG, Wikipedia ""Radical 78"") as the ""death"" radical. ""bare bone"" is an invented pictographic guess that doesn't match any sourced dictionary meaning. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,巷,,"alley, lane, street",alley,alley,keep,"crossref: isolated, no semantic/phonetic role recorded locally. ""alley"" is 巷's standard, well-documented dictionary meaning. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,飠,しょくへん (shokuhen),"food, to eat",eat less,food (left),change,"raw-data/sylhare/kanji-radicals.csv row 317: glyph ⻟ (U+2EDF, CJK RADICAL EAT THREE), Japanese name しょくへん/shokuhen, Meaning=""food, to eat"", Position-J/R=へん/hen (left). Row 185 (食, radical 184) also lists 飠 as an Alternate form. ""eat less"" is unsourced. Proposed ""food (left)"" matches the documented hen (left) position and is consistent with 𩙿, the other food-left variant already labeled ""food (left)"" in radical_form_keywords.json. User-supplied correction 2026-09-03. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,扌,てへん (tehen),hand,small hand,hand,change,"raw-data/sylhare/ka_data.csv (rad ⺘ tehen): rad_meaning=""hand"". ""small"" is an invented, unsourced qualifier. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,廿,,twenty,twenty,twenty,keep,"crossref: isolated, no semantic/phonetic role recorded locally. ""twenty"" is 廿's standard, universally attested numeral meaning. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,豕,いのこ (inoko),pig,pig,pig,keep,"raw-data/sylhare/kanji-radicals.csv row 152 (豕): Meaning=""pig"". Exact match. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,弋,いぐるみ (igurumi),corded arrow; to shoot such an arrow with a bow; stake,shoot with bow,shoot with bow,keep,"raw-data/sylhare/kanji-radicals.csv row 56 (弋): Meaning=""javelin""; however Wiktionary's fuller definition of 弋 gives ""a hunting tool: an arrow with an attached string; (archaic) to shoot such arrows with a bow; to catch"" — directly supporting the current keyword ""shoot with bow"" over the CSV's shorter ""javelin"" gloss. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,匸,かくしがまえ (kakushigamae),"to conceal, hide (enclosure)",hiding enclosure,hiding enclosure,keep,"raw-data/sylhare/kanji-radicals.csv row 23 (匸): Meaning=""to conceal, hide""; Position=かくしがまえ (kakushigamae, ""hiding enclosure""). Current keyword combines both correctly. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,于,N/A (not a Kangxi radical),"""to go to""/""at""; obsolete preposition, later replaced by 於; possibly pictogram of wind instrument/exhaled air",out of,at / go to,change,"Wiktionary 于: preposition 'at'/'to go to', obsolete particle; no sense matching 'out of'. Crossref: phonetic-only (component of 宇), never semantic → no compound-based meaning applies. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,尹,N/A (not a Kangxi radical),"""to govern; oversee"", ""director"" (ideogrammic compound of 丿 'stick' + 又 'hand' = hand holding a rod, control)",official rank,director / to govern,change,"Wiktionary 尹: 'to govern; oversee' / 'director'. 'official rank' distorts the sense from the office/role of governing to a grade/rank, which isn't attested. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,釆,のごめ (nogome),"'divide, to separate' (semantic radical, e.g. in 釈)",distinguish,(no change),keep,"raw-data/sylhare/kanji-radicals.csv row 166: Meaning='divide, to separate'. Crossref: as_semantic_radical_for 釈. 'distinguish' is an accurate near-synonym of 'to separate/tell apart'. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,疒,やまいだれ (yamaidare),"'sickness' (semantic radical, e.g. 疫痕疾症痩痴痛痘)",sickness,(no change),keep,"raw-data/sylhare/kanji-radicals.csv row 105: Meaning='sickness'. Exact match; crossref confirms as_semantic_radical_for count=15. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,虍,とらがしら (toragashira),"'tiger' (semantic radical, e.g. 虎虞虜彪)",tiger stripes,tiger,change,"raw-data/sylhare/kanji-radicals.csv row 142: Meaning='tiger'. Source meaning is simply 'tiger'; 'stripes' is an unsourced embellishment describing the graphic form rather than the dictionary/radical meaning. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,冖,わかんむり (wakanmuri),"'cover, crown' (semantic radical, e.g. 冒写冗冒)",cower,cover crown,change,"raw-data/sylhare/kanji-radicals.csv row 15: Meaning='cover, crown'. 'cower' is a different English word entirely (to crouch in fear) — looks like a corruption/typo of 'cover'. Crossref: as_semantic_radical_for 冠,写,凗,入む etc., all 'cover' senses, none related to fear. | Audit fix: the cited source Meaning is literally 'cover, crown' (kanji-radicals.csv row 15), but proposed 'cover' dropped the 'crown' component. Restored using the same 'X crown' convention used elsewhere in this dataset (e.g. 耂 'old crown', ⺮ 'bamboo crown')."
component_keyword.json,艮,こん (kon),'boundary' (Kangxi radical meaning); also one of the Eight Trigrams (mountain); in Japanese also denotes the direction 'northeast' (うしとら),northeast,(no change),keep,"Wiktionary 艮 confirms Japanese sense 'northeast' (radical 138, trigram-derived compass direction is a standard traditional Japanese usage), distinct from the Chinese 'boundary/trigram' senses. Genuine, sourced meaning, not an invented guess. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,旡,"むにょう (munyou, rad. 71/72 无/旡)","'not' (variant/related form of 无, radical meaning 'not'; variant form of 既)",choke,not,change,"raw-data/sylhare/kanji-radicals.csv row 72: radical 72(71) '无 旡' Meaning='not'. Crossref: as_variant_form_for 既 (choking-adjacent shape origin of 既 is unrelated to a 'choke' meaning for 旡 itself); 'choke' has no dictionary support. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,廾,にじゅうあし (nijuuashi),"'folded hands' (semantic radical, e.g. 弊弁弄)",two hands,folded hands,change,"raw-data/sylhare/kanji-radicals.csv row 56: Meaning='folded hands'. 'two hands' is an imprecise paraphrase; the sourced radical meaning specifies 'folded'. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,乂,N/A (not a Kangxi radical),"pictogram of a sickle/mowing tool; 'to mow/weed' (original), extended to 'to govern, regulate, orderly'",regulate,(no change),keep,"Wiktionary 乂: extended sense 'to govern, control, manage, regulate' is directly attested. 'regulate' is accurate. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,頁,おおがい (oogai),"'head, page' (semantic radical; historically 'head', extended to 'page/leaf'; e.g. 額頸顓顔願顕顧項 are all head/face-related)",page,head,change,"raw-data/sylhare/kanji-radicals.csv row 182: Meaning='head, page'. Crossref: as_semantic_radical_for 額,顔,顔,願,顓... (25 kanji), essentially all head/face related — the semantic-radical role is about 'head', with 'page' being a later borrowed/extended sense. 'head' better represents why it functions as this radical. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,彐,けいがしら (keigashira),"""pig's head"" (semantic-adjacent variant radical; also as_variant_form_for 彗)",pig snout,pig's head,change,"raw-data/sylhare/kanji-radicals.csv row 59: Meaning=""pig’s head"". Minor precision fix: source says 'head', not 'snout'. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,攵,ぼくづくり (bokuzukuri),"'activity, to strike, hit' (variant form of 攴, e.g. 改敢救教敬故攻散)",rap,(no change),keep,"raw-data/sylhare/kanji-radicals.csv row 67: Meaning='activity, to strike, hit'. 'rap' (to hit/knock) is a reasonable colloquial synonym. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,几,きにょう (kinyou),"'table' (semantic radical, e.g. 凯处冪凡; also phonetic in 机軌飢, on'yomi き)",table,(no change),keep,"raw-data/sylhare/kanji-radicals.csv row 17: Meaning='table'. Exact match. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,莫,N/A (not a Kangxi radical),"pictograph of sun setting in grass/reeds → 'dusk' (later written 暮); classical meaning 'do not, there is none' (negative particle)",shalt,do not / none,change,"Wiktionary 莫: primary classical senses 'do not' / 'there is none' (negative particle), origin pictograph for dusk. Crossref: phonetic-only component (漠募墓慕暮幕膨模, on'yomi も/ぼ/まく/ばく), never semantic — so a compound-derived guess is unreliable. 'shalt' is an unsupported archaic-English fragment (looks like a truncated/garbled 'thou shalt not'). | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,聿,"N/A (not a Kangxi radical, but radical 129 per sylhare)","'writing brush' (semantic radical, e.g. 粛肃)",pencil,writing brush,change,"raw-data/sylhare/kanji-radicals.csv row 130: Meaning='writing brush'. 'pencil' is anachronistic; the sourced/attested object is a brush, not a pencil. | Audit (2026-09-03): reviewed for dropped descriptive nuance from the sourced Japanese/Chinese name; no flattening found, kept as-is."
component_keyword.json,尢,だいのまげあし (dainomageashi),"'disabled, lame leg' (semantic radical, e.g. 就)",lame,lame leg,change,"raw-data/sylhare/kanji-radicals.csv row 44: Meaning='disabled, lame leg'. Exact match. | Audit fix: literal_meaning is 'disabled, lame leg'; だいのまげあし describes the bent/crooked leg of 大. Proposed 'lame' alone dropped the body-part noun 'leg' that the radical actually depicts. Restored to 'lame leg' to match the sourced meaning."
